@RELATION Jelly99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
6.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
7.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
243.0,1.0,14.0,0.0,18.0,18.0,1.0,85.0,18.0,7.0,1.0
41.0,2.0,2.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,1.0
220.0,1.0,12.0,0.0,12.0,12.0,1.0,70.0,12.0,2.0,1.0
155.0,1.0,7.0,0.0,8.0,8.0,2.0,0.0,8.0,0.0,1.0
48.0,2.0,3.0,0.0,7.0,7.0,1.0,14.0,7.0,2.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
22.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,0.0
27.0,1.0,4.0,0.0,401.0,3.0,5.0,33.0,3.0,2.0,1.0
47.0,2.0,8.0,0.0,19.0,2.0,2.0,0.0,2.0,0.0,1.0
10.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0
55.0,2.0,6.0,0.0,7.0,7.0,1.0,14.0,7.0,1.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
828.0,1.0,26.0,1.0,37.0,37.0,1.0,83.0,34.0,5.0,1.0
10.0,1.0,4.0,0.0,23.0,1.0,2.0,0.0,1.0,0.0,1.0
102.0,2.0,10.0,7.0,8.0,8.0,2.0,78.0,8.0,4.0,0.0
4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,7.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
48.0,1.0,6.0,1.0,5.0,5.0,2.0,50.0,5.0,2.0,0.0
4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
63.0,2.0,5.0,4.0,11.0,6.0,3.0,66.0,6.0,1.0,0.0
4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
124.0,2.0,9.0,0.0,11.0,3.0,3.0,54.0,3.0,8.0,1.0
71.0,2.0,12.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
12.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
5.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0
4.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,1.0
4.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0
15.0,1.0,6.0,0.0,13.0,2.0,4.0,0.0,2.0,0.0,0.0
6.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0
11.0,1.0,4.0,0.0,13.0,2.0,4.0,0.0,2.0,0.0,0.0
10.0,1.0,4.0,0.0,13.0,2.0,4.0,0.0,2.0,0.0,0.0
4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
8.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
10.0,1.0,4.0,0.0,13.0,2.0,4.0,0.0,2.0,0.0,0.0
5.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
7.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0
37.0,2.0,4.0,0.0,6.0,6.0,1.0,16.0,6.0,1.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
2094.0,2.0,48.0,1.0,83.0,83.0,2.0,95.0,79.0,8.0,1.0
5.0,1.0,3.0,0.0,23.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,3.0,0.0,23.0,1.0,2.0,0.0,1.0,0.0,1.0
73.0,1.0,4.0,0.0,19.0,6.0,2.0,0.0,6.0,0.0,1.0
77.0,1.0,8.0,0.0,24.0,6.0,3.0,50.0,6.0,4.0,1.0
15.0,1.0,4.0,0.0,41.0,2.0,2.0,0.0,2.0,0.0,1.0
39.0,1.0,7.0,0.0,22.0,4.0,3.0,0.0,4.0,1.0,1.0
222.0,3.0,17.0,9.0,18.0,18.0,2.0,84.0,18.0,10.0,1.0
46.0,1.0,8.0,0.0,22.0,4.0,3.0,25.0,4.0,2.0,1.0
22.0,1.0,4.0,0.0,1.0,1.0,1.0,62.0,1.0,8.0,1.0
13.0,1.0,3.0,0.0,20.0,2.0,3.0,0.0,2.0,0.0,1.0
8.0,1.0,3.0,0.0,20.0,2.0,3.0,0.0,2.0,0.0,1.0
8.0,1.0,2.0,0.0,20.0,2.0,3.0,0.0,2.0,0.0,1.0
51.0,1.0,8.0,0.0,21.0,3.0,3.0,0.0,3.0,0.0,1.0
20.0,1.0,4.0,0.0,21.0,3.0,3.0,0.0,3.0,0.0,1.0
11.0,1.0,4.0,0.0,20.0,2.0,3.0,0.0,2.0,0.0,1.0
178.0,1.0,12.0,0.0,18.0,5.0,4.0,0.0,5.0,1.0,1.0
10.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
27.0,2.0,4.0,0.0,5.0,5.0,1.0,40.0,5.0,1.0,1.0
12.0,1.0,4.0,0.0,86.0,3.0,3.0,0.0,3.0,0.0,1.0
6.0,1.0,1.0,0.0,171.0,1.0,3.0,0.0,1.0,0.0,1.0
6.0,1.0,0.0,0.0,178.0,1.0,3.0,0.0,1.0,0.0,1.0
13.0,1.0,0.0,3.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0
80.0,2.0,2.0,0.0,10.0,10.0,1.0,55.0,9.0,7.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
14.0,1.0,0.0,0.0,8.0,4.0,3.0,0.0,4.0,0.0,0.0
118.0,1.0,18.0,0.0,403.0,5.0,5.0,60.0,5.0,4.0,1.0
26.0,1.0,8.0,0.0,40.0,2.0,3.0,0.0,2.0,2.0,0.0
8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
4.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
131.0,1.0,15.0,0.0,401.0,3.0,5.0,50.0,3.0,2.0,1.0
27.0,1.0,7.0,0.0,40.0,2.0,3.0,0.0,2.0,2.0,0.0
10.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
4.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
331.0,2.0,19.0,0.0,409.0,11.0,5.0,69.0,11.0,5.0,1.0
6.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
134.0,2.0,15.0,0.0,404.0,6.0,5.0,66.0,6.0,5.0,1.0
19.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
7.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0
13.0,1.0,0.0,0.0,8.0,4.0,3.0,0.0,4.0,0.0,0.0
3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
14.0,1.0,0.0,0.0,8.0,4.0,3.0,0.0,4.0,0.0,0.0
84.0,1.0,6.0,4.0,4.0,4.0,2.0,16.0,4.0,3.0,0.0
17.0,2.0,2.0,0.0,2.0,2.0,1.0,33.0,2.0,3.0,0.0
71.0,2.0,2.0,2.0,18.0,18.0,1.0,58.0,18.0,1.0,1.0
6.0,0.0,1.0,12.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0
210.0,1.0,15.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
14.0,2.0,1.0,33.0,4.0,4.0,1.0,0.0,4.0,0.0,1.0
584.0,1.0,9.0,0.0,39.0,21.0,2.0,80.0,21.0,11.0,1.0
51.0,2.0,3.0,0.0,5.0,5.0,1.0,40.0,5.0,1.0,1.0
50.0,1.0,5.0,0.0,5.0,5.0,1.0,19.0,5.0,1.0,0.0
10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
45.0,2.0,4.0,0.0,6.0,6.0,1.0,55.0,6.0,3.0,0.0
36.0,2.0,2.0,0.0,3.0,3.0,1.0,72.0,3.0,6.0,0.0
15.0,1.0,3.0,0.0,6.0,2.0,2.0,0.0,2.0,1.0,1.0
46.0,1.0,8.0,0.0,50.0,5.0,7.0,40.0,5.0,3.0,1.0
13.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
17.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7.0,1.0,1.0,0.0,399.0,1.0,5.0,0.0,1.0,0.0,1.0
393.0,1.0,9.0,3.0,45.0,19.0,6.0,67.0,19.0,7.0,1.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
26.0,1.0,4.0,0.0,7.0,3.0,2.0,33.0,3.0,1.0,1.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
20.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
14.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
14.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
95.0,1.0,4.0,0.0,13.0,4.0,2.0,75.0,4.0,4.0,0.0
9.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
94.0,1.0,4.0,0.0,13.0,4.0,2.0,75.0,4.0,4.0,0.0
130.0,2.0,4.0,3.0,15.0,15.0,1.0,87.0,9.0,4.0,1.0
31.0,1.0,0.0,0.0,21.0,6.0,2.0,16.0,6.0,1.0,1.0
31.0,1.0,0.0,0.0,21.0,6.0,2.0,16.0,6.0,1.0,1.0
22.0,1.0,0.0,0.0,19.0,4.0,2.0,0.0,4.0,1.0,0.0
159.0,1.0,8.0,2.0,9.0,9.0,1.0,72.0,5.0,6.0,1.0
767.0,1.0,13.0,0.0,39.0,39.0,1.0,91.0,39.0,32.0,1.0
6.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0
12.0,1.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0
14.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
13.0,1.0,4.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0
52.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
33.0,1.0,4.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0
205.0,1.0,5.0,0.0,96.0,26.0,3.0,73.0,19.0,3.0,1.0
9.0,1.0,4.0,0.0,46.0,1.0,7.0,0.0,1.0,0.0,1.0
533.0,2.0,11.0,2.0,37.0,37.0,1.0,87.0,24.0,10.0,0.0
111.0,1.0,4.0,0.0,47.0,10.0,2.0,67.0,10.0,4.0,0.0
111.0,1.0,4.0,0.0,47.0,10.0,2.0,67.0,10.0,4.0,0.0
16.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
26.0,1.0,1.0,0.0,74.0,4.0,3.0,62.0,4.0,2.0,1.0
3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
563.0,1.0,12.0,2.0,70.0,52.0,2.0,92.0,43.0,22.0,1.0
82.0,2.0,2.0,0.0,5.0,5.0,1.0,71.0,5.0,7.0,1.0
3.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,0.0,46.0,1.0,7.0,0.0,1.0,0.0,1.0
239.0,1.0,11.0,0.0,37.0,11.0,6.0,68.0,11.0,7.0,0.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
26.0,1.0,4.0,0.0,7.0,3.0,2.0,33.0,3.0,1.0,1.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,1.0,8.0,1.0,51.0,51.0,1.0,0.0,51.0,0.0,1.0
43.0,1.0,7.0,0.0,26.0,6.0,3.0,33.0,6.0,1.0,1.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
20.0,1.0,3.0,1.0,17.0,17.0,1.0,0.0,17.0,0.0,0.0
5.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0
1825.0,6.0,78.0,296.0,398.0,215.0,4.0,97.0,213.0,47.0,1.0
10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
68.0,1.0,3.0,1.0,410.0,12.0,5.0,8.0,12.0,1.0,1.0
780.0,1.0,29.0,0.0,42.0,42.0,1.0,95.0,34.0,2.0,1.0
47.0,2.0,2.0,0.0,5.0,5.0,1.0,60.0,5.0,8.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
51.0,2.0,2.0,0.0,5.0,5.0,1.0,64.0,5.0,9.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0
48.0,2.0,5.0,0.0,5.0,5.0,1.0,60.0,5.0,5.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
79.0,2.0,3.0,0.0,6.0,6.0,1.0,59.0,6.0,12.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0
68.0,2.0,3.0,0.0,5.0,5.0,1.0,60.0,5.0,14.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
53.0,2.0,5.0,0.0,5.0,5.0,1.0,60.0,5.0,7.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
47.0,2.0,4.0,1.0,6.0,6.0,1.0,61.0,6.0,3.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
1500.0,2.0,37.0,1.0,36.0,8.0,2.0,87.0,3.0,0.0,1.0
12.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
2087.0,2.0,35.0,0.0,148.0,148.0,1.0,0.0,148.0,1.0,1.0
245.0,1.0,7.0,0.0,24.0,24.0,1.0,76.0,16.0,10.0,0.0
3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
3755.0,1.0,112.0,0.0,113.0,113.0,1.0,96.0,102.0,43.0,1.0
54.0,1.0,18.0,0.0,3.0,3.0,1.0,89.0,3.0,29.0,0.0
21.0,1.0,7.0,0.0,1.0,1.0,1.0,93.0,1.0,16.0,1.0
468.0,1.0,41.0,0.0,81.0,49.0,3.0,0.0,49.0,0.0,1.0
8.0,1.0,2.0,0.0,1.0,1.0,1.0,33.0,1.0,3.0,0.0
5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
10.0,1.0,2.0,0.0,1.0,1.0,1.0,33.0,1.0,3.0,0.0
11.0,1.0,5.0,0.0,1.0,1.0,1.0,25.0,1.0,4.0,0.0
6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
6.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
326.0,1.0,35.0,0.0,42.0,3.0,2.0,0.0,3.0,0.0,1.0
36.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
58.0,1.0,4.0,0.0,3.0,3.0,1.0,40.0,3.0,5.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
14.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0
14.0,1.0,2.0,0.0,1.0,1.0,1.0,19.0,1.0,5.0,0.0
16.0,1.0,6.0,0.0,17.0,2.0,2.0,50.0,2.0,3.0,1.0
22.0,1.0,0.0,0.0,3.0,3.0,1.0,33.0,3.0,3.0,1.0
7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
11.0,1.0,2.0,0.0,1.0,1.0,1.0,40.0,1.0,5.0,0.0
14.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
16.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0
54.0,1.0,2.0,0.0,7.0,7.0,1.0,0.0,7.0,1.0,1.0
343.0,2.0,14.0,4.0,121.0,27.0,2.0,33.0,26.0,1.0,1.0
214.0,1.0,18.0,0.0,38.0,38.0,1.0,50.0,38.0,2.0,1.0
63.0,1.0,10.0,0.0,400.0,2.0,5.0,50.0,2.0,1.0,1.0
19.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
150.0,2.0,6.0,5.0,194.0,20.0,3.0,88.0,20.0,3.0,1.0
9.0,0.0,2.0,1.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0
287.0,2.0,17.0,0.0,8.0,8.0,1.0,62.0,6.0,10.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
22.0,1.0,2.0,0.0,4.0,4.0,1.0,25.0,4.0,3.0,0.0
26.0,1.0,2.0,0.0,4.0,4.0,1.0,25.0,4.0,4.0,0.0
68.0,1.0,2.0,0.0,5.0,5.0,1.0,19.0,5.0,7.0,1.0
18.0,1.0,2.0,0.0,4.0,4.0,1.0,25.0,4.0,2.0,0.0
30.0,1.0,0.0,0.0,2.0,2.0,1.0,50.0,1.0,1.0,1.0
1021.0,1.0,38.0,0.0,183.0,94.0,2.0,81.0,92.0,3.0,1.0
37.0,1.0,4.0,0.0,7.0,7.0,1.0,42.0,7.0,2.0,0.0
496.0,2.0,17.0,1.0,32.0,4.0,2.0,0.0,3.0,0.0,1.0
536.0,2.0,15.0,0.0,48.0,48.0,1.0,0.0,48.0,1.0,1.0
503.0,3.0,5.0,0.0,64.0,40.0,2.0,90.0,40.0,19.0,1.0
11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0
128.0,2.0,8.0,0.0,5.0,5.0,1.0,19.0,5.0,9.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
1337.0,1.0,55.0,0.0,198.0,108.0,2.0,96.0,103.0,21.0,1.0
4.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
4.0,1.0,4.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0
3.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0
3.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
4.0,1.0,4.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0
6.0,1.0,4.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
11.0,1.0,7.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
6.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
4.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,4.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
8.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
